kepid_x,kepoi_name,koi_tce_plnt_num,koi_pdisposition,koi_score,koi_period,koi_max_mult_ev,koi_prad,koi_prad_err1,koi_prad_err2,koi_ror,koi_ror_err1,koi_ror_err2,radius,radius_err1,radius_err2,teff,corrected_prad,corrected_prad_err1,corrected_prad_err2,rowid,kepid_y,fpp_koi_period,fpp_prob,fpEffectiveness,obsFpRate,reliability,fpp_prob_use,totalReliability
10878263,K00341.01,1,CANDIDATE,1.0,7.170710381,104.67581,2.73,0.32,-0.26,0.026573000000000003,0.00059,-0.000372,0.941,0.11,-0.09,5497,2.73,0.32,-0.26,269,10878263,7.171,0.00035,0.9984999715472692,1.0265808511748081e-10,0.9999999999998458,0.00035,0.9996499999998458
10878263,K00341.02,2,CANDIDATE,1.0,4.699652821,41.030235,1.74,0.2,-0.17,0.016925,0.000539,-0.000351,0.941,0.11,-0.09,5497,1.74,0.2,-0.17,305,10878263,4.7,0.00055,0.9984809730239707,8.259790724040147e-05,0.9999998743302908,0.00055,0.9994498743994091
7288444,K03482.01,1,CANDIDATE,0.7190000000000001,15.3317719,11.514287,1.91,0.32,-0.35,0.013624,0.003086,-0.001673,1.2409999999999999,0.20199999999999999,-0.222,5730,1.91,0.32,-0.35,4612,7288444,15.332,0.00028,0.9201439801257965,0.05576881528389194,0.9948741611242292,0.00028,0.9945955963591144
3101923,K03483.01,1,CANDIDATE,0.7709999999999999,82.331756,9.593206,2.08,0.34,-0.28,0.015333,0.000682,-0.001207,1.148,0.17300000000000001,-0.17300000000000001,5997,2.08,0.34,-0.28,4613,3101923,82.332,0.0014,0.9249867829276638,0.28828414109915584,0.9671514372010672,0.0014,0.9657974251889858
4150804,K03678.01,1,CANDIDATE,1.0,160.88451966,288.8604,9.09,3.04,-2.02,0.079769,0.000131,-0.0006519999999999999,1.044,0.349,-0.23199999999999998,5650,9.09,3.04,-2.02,4666,4150804,160.885,0.0053,0.9984999715474705,2.320216462343379e-26,1.0,0.0053,0.9947
9353742,K03867.01,1,CANDIDATE,1.0,0.938750221,38.891384,1.46,0.19,-0.06,0.01514,0.000505,-0.000262,0.8859999999999999,0.11199999999999999,-0.042,5497,1.46,0.19,-0.06,4683,9353742,0.939,2.6e-05,0.9984635335075014,0.00011999614216777784,0.9999998153240736,2.6e-05,0.9999738153288752
9086154,K04060.01,1,CANDIDATE,0.9009999999999999,225.26213,15.975952,2.36,0.37,-0.41,0.018148,0.000771,-0.000531,1.1909999999999998,0.18600000000000005,-0.205,5799,2.36,0.37,-0.41,4823,9086154,225.262,0.018,0.9951693480072041,0.7161660694519988,0.9877521970593616,0.018,0.969972657512293
6842682,K02649.01,1,CANDIDATE,0.992,7.56126152,13.309786,1.2,0.34,-0.11,0.012323,0.000642,-0.000499,0.895,0.24600000000000002,-0.08199999999999999,5853,1.2,0.34,-0.11,3011,6842682,7.561,0.00018,0.9468396554748576,0.03260410608271463,0.998107746113259,0.00018,0.9979280867189587
4346178,K02652.01,1,CANDIDATE,1.0,16.1289679,16.902507999999994,2.94,0.61,-0.5,0.024747,0.001569,-0.006861,1.051,0.218,-0.16399999999999998,5392,2.94,0.61,-0.5,3787,4346178,16.129,0.0052,0.9809473908488684,0.01859294520919949,0.99963203394567,0.0052,0.9944339473691526
8415200,K02730.01,1,CANDIDATE,0.9890000000000001,4.52158614,22.59492,1.31,0.21,-0.24,0.009333,0.000379,-0.00029,1.2590000000000001,0.212,-0.259,5578,1.31,0.21,-0.24,3490,8415200,4.522,5.1e-05,0.9946554572878423,0.004275638570244759,0.9999769272300536,5.1e-05,0.9999259284067649
11963206,K02820.01,1,CANDIDATE,1.0,3.00912491,14.820099,1.22,0.16,-0.04,0.012546,0.0006580000000000001,-0.000496,0.853,0.09699999999999999,-0.036000000000000004,5699,1.22,0.16,-0.04,3885,11963206,3.009,0.00019,0.9630280767475319,0.02151517792620294,0.999155841607783,0.00019,0.9989660019978776
4249611,K02821.01,1,CANDIDATE,0.983,79.2450351,12.376152,3.33,0.92,-0.46,0.033253,0.001825,-0.001404,0.917,0.254,-0.127,5648,3.33,0.92,-0.46,3886,4249611,79.245,0.0099,0.9631717553981533,0.17267953390130272,0.9920192376229038,0.0099,0.982198247170437
8263545,K02822.01,1,CANDIDATE,0.9990000000000001,4.44589508,18.886185,1.94,0.58,-0.19,0.020568,0.002759,-0.001416,0.865,0.258,-0.086,5918,1.94,0.58,-0.19,3887,8263545,4.446,0.00089,0.9873804791898874,0.009408343172894969,0.9998786117049735,0.00089,0.9989887197405561
3852655,K03002.01,1,CANDIDATE,0.996,11.62904159,11.5247,1.31,0.2,-0.2,0.010571,8.8e-05,-0.00232,1.131,0.17300000000000001,-0.17300000000000001,5721,1.31,0.2,-0.2,3993,3852655,11.629,0.0024,0.9178458569707968,0.05140160303429878,0.9951498631268185,0.0024,0.9927615034553142
10190075,K03007.01,1,CANDIDATE,0.946,11.1916199,10.262078,1.47,0.2,-0.1,0.014113,0.002443,-0.00259,0.965,0.142,-0.066,5638,1.47,0.2,-0.1,4034,10190075,11.192,0.038,0.8860199794785157,0.06570007057622859,0.9909538301934484,0.038,0.9532975846460974
5096590,K03093.01,1,CANDIDATE,0.996,29.6099055,10.159695,1.74,0.26,-0.24,0.014184,0.000699,-0.004665,1.122,0.168,-0.151,5812,1.74,0.26,-0.24,3697,5096590,29.61,0.092,0.8994018053683255,0.09836152912144283,0.9877980491967517,0.092,0.8969206286706506
9650989,K03095.01,1,CANDIDATE,1.0,3.42390809,10.919047,1.25,0.2,-0.08,0.011291,0.000717,-0.000553,1.026,0.149,-0.08,5787,1.25,0.2,-0.08,3732,9650989,3.424,0.022,0.8971905951256899,0.04872917170037616,0.9941300691758512,0.022,0.9722592076539824
7455981,K03096.01,1,CANDIDATE,0.941,14.4540329,13.224343,0.72,0.13,-0.09,0.008381999999999999,0.000173,-0.0005639999999999999,0.79,0.136,-0.099,5559,0.72,0.13,-0.09,3733,7455981,14.454,0.0018,0.9487375457674643,0.03858461262051699,0.9978315151996647,0.0018,0.9960354184723053
9527334,K00049.01,1,CANDIDATE,1.0,8.31377304,92.30504,2.74,0.43,-0.13,0.026357,0.001241,-0.000811,0.951,0.152,-0.045,5900,2.74,0.43,-0.13,488,9527334,8.314,8.5e-11,0.9984999715404331,1.4971461312826394e-09,0.9999999999977509,8.5e-11,0.9999999999127509
9571186,K03313.01,1,CANDIDATE,1.0,34.9524256,13.590603,21.74,1.81,-1.51,0.255517,70.16925,-3.3090589999999995,0.779,0.065,-0.054000000000000006,4921,21.74,1.81,-1.51,4512,9571186,34.952,0.96,0.9610095373160085,0.05575880678606961,0.9976041411982886,0.96,0.039904165647931575
9031209,K03316.01,1,CANDIDATE,0.996,47.05684760000001,24.130754,2.84,0.47,-0.22,0.03515,0.001272,-0.0006309999999999999,0.74,0.122,-0.057,5288,2.84,0.47,-0.22,4549,9031209,47.057,8.5e-05,0.996833004955543,0.008043225516405373,0.9999742390145249,8.5e-05,0.9998892412042086
9966219,K03401.01,1,CANDIDATE,0.996,17.9559673,10.403063,1.96,0.28,-0.33,0.014983000000000003,0.000866,-0.004997,1.181,0.183,-0.223,5637,1.96,0.28,-0.33,4241,9966219,17.956,0.0042,0.8959421599760811,0.07367036356437309,0.9907631883566834,0.0042,0.9866019829655853
8121328,K03486.01,1,CANDIDATE,1.0,19.0689513,14.969041,1.63,0.45,-0.24,0.016821,0.001886,-0.005332,0.889,0.245,-0.132,5418,1.63,0.45,-0.24,4651,8121328,19.069,0.17,0.9690464929564852,0.029744042492124548,0.9990207830497112,0.17,0.8291872499312603
9025971,K03680.01,1,CANDIDATE,0.9990000000000001,141.2415405,336.2867,11.49,1.66,-1.21,0.103416,0.000364,-0.000305,1.0170000000000001,0.147,-0.107,5705,11.49,1.66,-1.21,4668,9025971,141.242,0.014,0.9984999715474705,5.664330367832735e-31,1.0,0.014,0.986
8494410,K03685.02,2,CANDIDATE,1.0,7.259322599999999,33.093586,1.57,0.43,-0.23,0.014557,0.000288,-0.000537,0.987,0.272,-0.146,5914,1.57,0.43,-0.23,4709,8494410,7.259,0.00055,0.9983173538701328,0.0004802756455527797,0.9999991901149803,0.00055,0.999449190560417
4472818,K03878.01,1,CANDIDATE,0.982,70.9672087,31.67353,2.84,0.42,-0.15,0.026365,0.002218,-0.0008710000000000001,0.965,0.159,-0.053,5827,2.84,0.42,-0.15,4728,4472818,70.967,5.1e-05,0.9983478623943793,0.002758422761404532,0.9999954225377108,5.1e-05,0.9999444227711614
